x,Char_Func_2
0.009688488,-1.02E-72
0.009745817,3.07E-72
0.009803145,-8.18E-72
0.009860473,1.02E-71
0.009917802,5.11E-72
0.00997513,5.11E-72
0.010032458,0
0.010089787,5.62E-72
0.010147115,8.18E-72
0.010204443,-3.07E-72
0.010261772,-7.15E-72
0.0103191,-6.13E-72
0.010376428,1.02E-72
0.010433757,3.07E-72
0.010491085,-9.20E-72
0.010548413,-6.13E-72
0.010605742,4.60E-72
0.01066307,5.11E-72
0.010720398,-2.04E-72
0.010777727,5.11E-72
0.010835055,-1.53E-71
0.010892383,-1.23E-71
0.010949712,3.07E-72
0.01100704,6.13E-72
0.011064368,5.62E-72
0.011121697,0
0.011179025,2.04E-72
0.011236353,1.12E-71
0.011293682,1.02E-71
0.01135101,6.13E-72
0.011408338,4.60E-72
0.011465667,3.07E-72
0.011522995,3.58E-72
0.011580323,0
0.011637652,0
0.01169498,1.12E-71
0.011752308,1.43E-71
0.011809637,2.04E-71
0.011866965,2.20E-71
0.011924293,-3.07E-72
0.011981622,7.15E-72
0.01203895,-1.43E-71
0.012096278,-1.12E-71
0.012153607,-1.12E-71
0.012210935,1.18E-71
0.012268263,1.28E-71
0.012325592,-3.07E-72
0.01238292,-1.02E-72
0.012440248,-1.12E-71
0.012497577,-1.02E-71
0.012554905,5.11E-72
0.012612233,2.04E-72
0.012669562,-8.18E-72
0.01272689,-8.18E-72
0.012784218,-1.02E-72
0.012841547,-5.11E-72
0.012898875,9.71E-72
0.012956203,1.64E-71
0.013013532,2.04E-72
0.01307086,3.07E-72
0.013128188,-1.23E-71
0.013185517,-1.84E-71
0.013242845,-1.84E-71
0.013300173,2.04E-72
0.013357502,1.02E-72
0.01341483,1.69E-71
0.013472158,1.69E-71
0.013529487,-4.09E-72
0.013586815,-1.02E-72
0.013644143,6.08E-71
0.013701472,3.59E-70
0.0137588,2.66E-69
0.013816128,1.91E-68
0.013873457,1.35E-67
0.013930785,9.40E-67
0.013988113,6.48E-66
0.014045442,4.41E-65
0.01410277,2.97E-64
0.014160098,1.97E-63
0.014217427,1.29E-62
0.014274755,8.38E-62
0.014332083,5.37E-61
0.014389412,3.39E-60
0.01444674,2.12E-59
0.014504068,1.31E-58
0.014561397,7.97E-58
0.014618725,4.79E-57
0.014676053,2.85E-56
0.014733382,1.67E-55
0.01479071,9.71E-55
0.014848038,5.56E-54
0.014905367,3.15E-53
0.014962695,1.76E-52
0.015020023,9.71E-52
0.015077352,5.30E-51
0.01513468,2.85E-50
0.015192008,1.52E-49
0.015249337,7.97E-49
0.015306665,4.14E-48
0.015363993,2.12E-47
0.015421322,1.07E-46
0.01547865,5.37E-46
0.015535978,2.66E-45
0.015593307,1.30E-44
0.015650635,6.25E-44
0.015707963,2.97E-43
0.015765292,1.40E-42
0.01582262,6.50E-42
0.015879948,2.98E-41
0.015937277,1.35E-40
0.015994605,6.05E-40
0.016051933,2.67E-39
0.016109262,1.17E-38
0.01616659,5.04E-38
0.016223918,2.15E-37
0.016281247,9.03E-37
0.016338575,3.75E-36
0.016395903,1.54E-35
0.016453232,6.25E-35
0.01651056,2.50E-34
0.016567888,9.91E-34
0.016625217,3.87E-33
0.016682545,1.49E-32
0.016739873,5.70E-32
0.016797202,2.15E-31
0.01685453,7.99E-31
0.016911858,2.93E-30
0.016969187,1.07E-29
0.017026515,3.82E-29
0.017083843,1.35E-28
0.017141172,4.73E-28
0.0171985,1.63E-27
0.017255828,5.58E-27
0.017313157,1.88E-26
0.017370485,6.26E-26
0.017427813,2.06E-25
0.017485142,6.68E-25
0.01754247,2.14E-24
0.017599798,6.79E-24
0.017657127,2.13E-23
0.017714455,6.57E-23
0.017771783,2.00771E-22
0.017829112,6.05599E-22
0.01788644,1.80431E-21
0.017943768,5.30982E-21
0.018001097,1.54345E-20
0.018058425,4.43145E-20
0.018115753,1.25673E-19
0.018173082,3.52031E-19
0.01823041,9.7401E-19
0.018287738,2.66188E-18
0.018345067,7.18547E-18
0.018402395,1.91587E-17
0.018459723,5.04566E-17
0.018517052,1.31254E-16
0.01857438,3.37249E-16
0.018631708,8.55917E-16
0.018689037,2.14563E-15
0.018746365,5.31276E-15
0.018803693,1.29936E-14
0.018861022,3.13892E-14
0.01891835,7.48986E-14
0.018975678,1.76527E-13
0.019033007,4.1095E-13
0.019090335,9.44954E-13
0.019147663,2.14622E-12
0.019204992,4.81484E-12
0.01926232,1.06692E-11
0.019319648,2.3352E-11
0.019376977,5.04846E-11
0.019434305,1.07804E-10
0.019491633,2.27382E-10
0.019548962,4.73717E-10
0.01960629,9.7482E-10
0.019663618,1.9814E-09
0.019720947,3.97799E-09
0.019778275,7.88854E-09
0.019835603,1.54516E-08
0.019892932,2.98945E-08
0.01995026,5.71284E-08
0.020007588,1.07834E-07
0.020064917,2.01049E-07
0.020122245,3.70247E-07
0.020179573,6.73479E-07
0.020236902,1.21004E-06
0.02029423,2.14741E-06
0.020351558,3.76422E-06
0.020408887,6.51745E-06
0.020466215,1.11461E-05
0.020523543,1.88283E-05
0.020580872,3.14153E-05
0.0206382,5.17743E-05
0.020695528,8.4281E-05
0.020752857,0.000135515
0.020810185,0.000215223
0.020867513,0.000337623
0.020924842,0.000523141
0.02098217,0.000800658
0.021039498,0.001210372
0.021096827,0.001807311
0.021154155,0.002665567
0.021211483,0.003883194
0.021268812,0.005587674
0.02132614,0.007941742
0.021383468,0.011149185
0.021440797,0.015460129
0.021498125,0.021175112
0.021555453,0.028647121
0.021612782,0.038280614
0.02167011,0.050526526
0.021727438,0.06587227
0.021784767,0.084825898
0.021842095,0.107893912
0.021899423,0.135552664
0.021956752,0.168213875
0.02201408,0.206185546
0.022071408,0.249630279
0.022128737,0.298523791
0.022186065,0.352617024
0.022243393,0.411405646
0.022300722,0.474110813
0.02235805,0.539674771
0.022415378,0.606774071
0.022472707,0.673852051
0.022530035,0.739170689
0.022587363,0.800880209
0.022644692,0.857103027
0.02270202,0.906026997
0.022759348,0.946001643
0.022816677,0.975630311
0.022874005,0.993851096
0.022931333,1
0.022988662,0.993851096
0.02304599,0.975630311
0.023103318,0.946001643
0.023160647,0.906026997
0.023217975,0.857103027
0.023275303,0.800880209
0.023332632,0.739170689
0.02338996,0.673852051
0.023447288,0.606774071
0.023504617,0.539674771
0.023561945,0.474110813
0.023619273,0.411405646
0.023676602,0.352617024
0.02373393,0.298523791
0.023791258,0.249630279
0.023848587,0.206185546
0.023905915,0.168213875
0.023963243,0.135552664
0.024020572,0.107893912
0.0240779,0.084825898
0.024135228,0.06587227
0.024192557,0.050526526
0.024249885,0.038280614
0.024307213,0.028647121
0.024364542,0.021175112
0.02442187,0.015460129
0.024479198,0.011149185
0.024536527,0.007941742
0.024593855,0.005587674
0.024651183,0.003883194
0.024708512,0.002665567
0.02476584,0.001807311
0.024823168,0.001210372
0.024880497,0.000800658
0.024937825,0.000523141
0.024995153,0.000337623
0.025052482,0.000215223
0.02510981,0.000135515
0.025167138,8.4281E-05
0.025224467,5.17743E-05
0.025281795,3.14153E-05
0.025339123,1.88283E-05
0.025396452,1.11461E-05
0.02545378,6.51745E-06
0.025511108,3.76422E-06
0.025568437,2.14741E-06
